Event,MatchIndex,Played,PassiveChange,Date,Bey,ELO,Position,Spiele,Siege,Niederlagen,Winrate
7,1,0,1,2025-09-07,DranBrave,1014,5,1,1,0,1.0
7,1,0,1,2025-09-07,BlackShell,980,13,1,0,1,0.0
7,1,0,1,2025-09-07,WizardArc,986,10,1,0,1,0.0
7,1,0,1,2025-09-07,LeonCrest,987,8,1,0,1,0.0
8,1,0,1,2025-09-07,HellsReaper,986,13,1,0,1,0.0
8,1,0,1,2025-09-07,TuskMammoth,1014,5,1,1,0,1.0
8,1,0,1,2025-09-07,SamuraiSaber,986,12,1,0,1,0.0
8,1,0,1,2025-09-07,HellsHammer,987,10,1,0,1,0.0
8,1,1,0,2025-09-07,UnicornSting,1020,3,1,1,0,1.0
8,1,0,1,2025-09-07,ViperTail,1014,4,1,1,0,1.0
8,1,0,1,2025-09-07,DranSword,1013,8,1,1,0,1.0
8,1,0,1,2025-09-07,LeonCrest,987,9,1,0,1,0.0
8,1,0,1,2025-09-07,CrimsonGaruda,980,15,1,0,1,0.0
8,1,0,1,2025-09-07,ImpactDrake,1013,7,1,1,0,1.0
8,1,0,1,2025-09-07,DranBrave,1014,6,1,1,0,1.0
8,1,0,1,2025-09-07,BlackShell,980,14,1,0,1,0.0
8,1,0,1,2025-09-07,WizardArc,986,11,1,0,1,0.0
8,1,1,0,2025-09-07,LeonClaw,980,16,1,0,1,0.0
9,1,0,1,2025-09-07,HellsReaper,986,14,1,0,1,0.0
9,1,0,1,2025-09-07,TuskMammoth,1014,6,1,1,0,1.0
9,1,0,1,2025-09-07,SamuraiSaber,986,13,1,0,1,0.0
9,1,1,0,2025-09-07,DranBuster,976,18,1,0,1,0.0
9,1,0,1,2025-09-07,GolemRock,1020,2,1,1,0,1.0
9,1,0,1,2025-09-07,DranDagger,1020,3,1,1,0,1.0
9,1,0,1,2025-09-07,HellsHammer,987,11,1,0,1,0.0
9,1,0,1,2025-09-07,UnicornSting,1020,4,1,1,0,1.0
9,1,0,1,2025-09-07,ViperTail,1014,5,1,1,0,1.0
9,1,0,1,2025-09-07,DranSword,1013,9,1,1,0,1.0
9,1,0,1,2025-09-07,LeonCrest,987,10,1,0,1,0.0
9,1,0,1,2025-09-07,CrimsonGaruda,980,16,1,0,1,0.0
9,1,0,1,2025-09-07,LeonClaw,980,17,1,0,1,0.0
9,1,0,1,2025-09-07,ImpactDrake,1013,8,1,1,0,1.0
9,1,0,1,2025-09-07,DranBrave,1014,7,1,1,0,1.0
9,1,0,1,2025-09-07,BlackShell,980,15,1,0,1,0.0
9,1,0,1,2025-09-07,WizardArc,986,12,1,0,1,0.0
9,1,1,0,2025-09-07,FoxBrush,1024,1,1,1,0,1.0
10,1,0,1,2025-09-07,HellsReaper,986,15,1,0,1,0.0
10,1,1,0,2025-09-07,HellsChain,986,16,1,0,1,0.0
10,1,0,1,2025-09-07,SamuraiSaber,986,14,1,0,1,0.0
10,1,0,1,2025-09-07,DranBuster,976,20,1,0,1,0.0
10,1,0,1,2025-09-07,HellsHammer,987,12,1,0,1,0.0
10,1,0,1,2025-09-07,CrimsonGaruda,980,18,1,0,1,0.0
10,1,0,1,2025-09-07,DranSword,1013,10,1,1,0,1.0
10,1,0,1,2025-09-07,LeonClaw,980,19,1,0,1,0.0
10,1,0,1,2025-09-07,ImpactDrake,1013,9,1,1,0,1.0
10,1,1,0,2025-09-07,TyrannoBeat,1014,8,1,1,0,1.0
10,1,0,1,2025-09-07,BlackShell,980,17,1,0,1,0.0
10,1,0,1,2025-09-07,WizardArc,986,13,1,0,1,0.0
10,1,0,1,2025-09-07,LeonCrest,987,11,1,0,1,0.0
11,1,0,1,2025-09-07,HellsReaper,986,17,1,0,1,0.0
11,1,0,1,2025-09-07,HellsChain,986,18,1,0,1,0.0
11,1,0,1,2025-09-07,SamuraiSaber,986,16,1,0,1,0.0
11,1,0,1,2025-09-07,DranBuster,976,22,1,0,1,0.0
11,1,1,0,2025-09-07,PhoenixWing,1013,11,1,1,0,1.0
11,1,0,1,2025-09-07,HellsHammer,987,13,1,0,1,0.0
11,1,0,1,2025-09-07,CrimsonGaruda,980,20,1,0,1,0.0
11,1,0,1,2025-09-07,LeonClaw,980,21,1,0,1,0.0
11,1,0,1,2025-09-07,WizardArc,986,15,1,0,1,0.0
11,1,0,1,2025-09-07,BlackShell,980,19,1,0,1,0.0
11,1,0,1,2025-09-07,LeonCrest,987,12,1,0,1,0.0
11,1,1,0,2025-09-07,WizardArrow,987,14,1,0,1,0.0
12,1,0,1,2025-09-07,TuskMammoth,1014,7,1,1,0,1.0
12,1,0,1,2025-09-07,PhoenixWing,1013,12,1,1,0,1.0
12,1,0,1,2025-09-07,DranDagger,1020,4,1,1,0,1.0
12,1,0,1,2025-09-07,HellsHammer,987,14,1,0,1,0.0
12,1,0,1,2025-09-07,UnicornSting,1020,5,1,1,0,1.0
12,1,0,1,2025-09-07,CrimsonGaruda,980,21,1,0,1,0.0
12,1,0,1,2025-09-07,WizardArrow,987,15,1,0,1,0.0
12,1,1,0,2025-09-07,SharkEdge,976,24,1,0,1,0.0
12,1,0,1,2025-09-07,DranBuster,976,23,1,0,1,0.0
12,1,0,1,2025-09-07,GolemRock,1020,3,1,1,0,1.0
12,1,0,1,2025-09-07,DranBrave,1014,8,1,1,0,1.0
12,1,0,1,2025-09-07,LeonClaw,980,22,1,0,1,0.0
12,1,0,1,2025-09-07,HellsChain,986,19,1,0,1,0.0
12,1,0,1,2025-09-07,SamuraiSaber,986,17,1,0,1,0.0
12,1,0,1,2025-09-07,TyrannoBeat,1014,9,1,1,0,1.0
12,1,0,1,2025-09-07,BlackShell,980,20,1,0,1,0.0
12,1,0,1,2025-09-07,LeonCrest,987,13,1,0,1,0.0
12,1,0,1,2025-09-07,ImpactDrake,1013,10,1,1,0,1.0
12,1,0,1,2025-09-07,HellsReaper,986,18,1,0,1,0.0
12,1,0,1,2025-09-07,ViperTail,1014,6,1,1,0,1.0
12,1,0,1,2025-09-07,DranSword,1013,11,1,1,0,1.0
12,1,0,1,2025-09-07,WizardArc,986,16,1,0,1,0.0
12,1,1,0,2025-09-07,CobaltDragoon,1024,2,1,1,0,1.0
13,1,0,1,2025-09-07,TuskMammoth,1014,8,1,1,0,1.0
13,1,0,1,2025-09-07,PhoenixWing,1013,13,1,1,0,1.0
13,1,0,1,2025-09-07,DranDagger,1020,5,1,1,0,1.0
13,1,0,1,2025-09-07,HellsHammer,987,15,1,0,1,0.0
13,1,0,1,2025-09-07,UnicornSting,1020,6,1,1,0,1.0
13,1,0,1,2025-09-07,CrimsonGaruda,980,22,1,0,1,0.0
13,1,0,1,2025-09-07,WizardArrow,987,16,1,0,1,0.0
13,1,0,1,2025-09-07,SharkEdge,976,25,1,0,1,0.0
13,1,0,1,2025-09-07,DranBuster,976,24,1,0,1,0.0
13,1,0,1,2025-09-07,GolemRock,1020,4,1,1,0,1.0
13,1,0,1,2025-09-07,DranBrave,1014,9,1,1,0,1.0
13,1,0,1,2025-09-07,LeonClaw,980,23,1,0,1,0.0
13,1,0,1,2025-09-07,HellsChain,986,20,1,0,1,0.0
13,1,1,0,2025-09-07,WhaleWave,976,26,1,0,1,0.0
13,1,0,1,2025-09-07,SamuraiSaber,986,18,1,0,1,0.0
13,1,1,0,2025-09-07,PerseusDark,1024,3,1,1,0,1.0
13,1,0,1,2025-09-07,WizardArc,986,17,1,0,1,0.0
13,1,0,1,2025-09-07,TyrannoBeat,1014,10,1,1,0,1.0
13,1,0,1,2025-09-07,BlackShell,980,21,1,0,1,0.0
13,1,0,1,2025-09-07,LeonCrest,987,14,1,0,1,0.0
13,1,0,1,2025-09-07,HellsReaper,986,19,1,0,1,0.0
13,1,0,1,2025-09-07,ViperTail,1014,7,1,1,0,1.0
13,1,0,1,2025-09-07,DranSword,1013,12,1,1,0,1.0
13,1,0,1,2025-09-07,ImpactDrake,1013,11,1,1,0,1.0
14,1,0,1,2025-09-07,HellsReaper,986,21,1,0,1,0.0
14,1,0,1,2025-09-07,HellsChain,986,22,1,0,1,0.0
14,1,0,1,2025-09-07,WhaleWave,976,28,1,0,1,0.0
14,1,0,1,2025-09-07,SamuraiSaber,986,20,1,0,1,0.0
14,1,0,1,2025-09-07,SharkEdge,976,27,1,0,1,0.0
14,1,0,1,2025-09-07,DranBuster,976,26,1,0,1,0.0
14,1,1,0,2025-09-07,SilverWolf,987,18,1,0,1,0.0
14,1,0,1,2025-09-07,HellsHammer,987,16,1,0,1,0.0
14,1,0,1,2025-09-07,CrimsonGaruda,980,24,1,0,1,0.0
14,1,1,0,2025-09-07,WizardRod,1013,14,1,1,0,1.0
14,1,0,1,2025-09-07,LeonClaw,980,25,1,0,1,0.0
14,1,0,1,2025-09-07,WizardArc,986,19,1,0,1,0.0
14,1,0,1,2025-09-07,BlackShell,980,23,1,0,1,0.0
14,1,0,1,2025-09-07,LeonCrest,987,15,1,0,1,0.0
14,1,0,1,2025-09-07,WizardArrow,987,17,1,0,1,0.0
15,1,0,1,2025-09-07,TuskMammoth,1014,9,1,1,0,1.0
15,1,0,1,2025-09-07,PhoenixWing,1013,14,1,1,0,1.0
15,1,0,1,2025-09-07,SilverWolf,987,19,1,0,1,0.0
15,1,1,0,2025-09-07,RhinoReaper,980,27,1,0,1,0.0
15,1,0,1,2025-09-07,HellsHammer,987,17,1,0,1,0.0
15,1,0,1,2025-09-07,CrimsonGaruda,980,25,1,0,1,0.0
15,1,0,1,2025-09-07,WizardArrow,987,18,1,0,1,0.0
15,1,0,1,2025-09-07,SharkEdge,976,29,1,0,1,0.0
15,1,1,0,2025-09-07,WeissTiger,1020,7,1,1,0,1.0
15,1,0,1,2025-09-07,DranBuster,976,28,1,0,1,0.0
15,1,0,1,2025-09-07,DranBrave,1014,10,1,1,0,1.0
15,1,0,1,2025-09-07,LeonClaw,980,26,1,0,1,0.0
15,1,0,1,2025-09-07,HellsChain,986,23,1,0,1,0.0
15,1,0,1,2025-09-07,WhaleWave,976,30,1,0,1,0.0
15,1,0,1,2025-09-07,SamuraiSaber,986,21,1,0,1,0.0
15,1,0,1,2025-09-07,WizardRod,1013,15,1,1,0,1.0
15,1,0,1,2025-09-07,WizardArc,986,20,1,0,1,0.0
15,1,0,1,2025-09-07,TyrannoBeat,1014,11,1,1,0,1.0
15,1,0,1,2025-09-07,BlackShell,980,24,1,0,1,0.0
15,1,0,1,2025-09-07,LeonCrest,987,16,1,0,1,0.0
15,1,0,1,2025-09-07,HellsReaper,986,22,1,0,1,0.0
15,1,0,1,2025-09-07,ViperTail,1014,8,1,1,0,1.0
15,1,0,1,2025-09-07,DranSword,1013,13,1,1,0,1.0
15,1,0,1,2025-09-07,ImpactDrake,1013,12,1,1,0,1.0
16,1,0,1,2025-09-07,PhoenixWing,1013,15,1,1,0,1.0
16,1,0,1,2025-09-07,SilverWolf,987,20,1,0,1,0.0
16,1,0,1,2025-09-07,RhinoReaper,980,29,1,0,1,0.0
16,1,0,1,2025-09-07,HellsHammer,987,18,1,0,1,0.0
16,1,0,1,2025-09-07,CrimsonGaruda,980,27,1,0,1,0.0
16,1,0,1,2025-09-07,WizardArrow,987,19,1,0,1,0.0
16,1,1,0,2025-09-07,PhoenixRudder,1014,12,1,1,0,1.0
16,1,0,1,2025-09-07,SharkEdge,976,31,1,0,1,0.0
16,1,0,1,2025-09-07,DranBuster,976,30,1,0,1,0.0
16,1,0,1,2025-09-07,LeonClaw,980,28,1,0,1,0.0
16,1,0,1,2025-09-07,HellsChain,986,24,1,0,1,0.0
16,1,0,1,2025-09-07,WhaleWave,976,32,1,0,1,0.0
16,1,0,1,2025-09-07,SamuraiSaber,986,22,1,0,1,0.0
16,1,0,1,2025-09-07,WizardRod,1013,16,1,1,0,1.0
16,1,0,1,2025-09-07,WizardArc,986,21,1,0,1,0.0
16,1,0,1,2025-09-07,BlackShell,980,26,1,0,1,0.0
16,1,0,1,2025-09-07,LeonCrest,987,17,1,0,1,0.0
16,1,0,1,2025-09-07,HellsReaper,986,23,1,0,1,0.0
16,1,1,0,2025-09-07,ScorpioSpear,986,25,1,0,1,0.0
16,1,0,1,2025-09-07,DranSword,1013,14,1,1,0,1.0
16,1,0,1,2025-09-07,ImpactDrake,1013,13,1,1,0,1.0
17,2,1,0,2025-09-07,TuskMammoth,1031,1,2,2,0,1.0
17,1,0,1,2025-09-07,WeissTiger,1020,8,1,1,0,1.0
17,1,0,1,2025-09-07,PhoenixWing,1013,14,1,1,0,1.0
17,1,0,1,2025-09-07,GolemRock,1020,5,1,1,0,1.0
17,1,0,1,2025-09-07,TyrannoBeat,1014,10,1,1,0,1.0
17,1,0,1,2025-09-07,PerseusDark,1024,4,1,1,0,1.0
17,1,0,1,2025-09-07,DranDagger,1020,6,1,1,0,1.0
17,1,0,1,2025-09-07,UnicornSting,1020,7,1,1,0,1.0
17,2,1,0,2025-09-07,ViperTail,997,16,2,1,1,0.5
17,1,0,1,2025-09-07,DranSword,1013,13,1,1,0,1.0
17,1,0,1,2025-09-07,WizardRod,1013,15,1,1,0,1.0
17,1,0,1,2025-09-07,ImpactDrake,1013,12,1,1,0,1.0
17,1,0,1,2025-09-07,DranBrave,1014,9,1,1,0,1.0
17,1,0,1,2025-09-07,CobaltDragoon,1024,3,1,1,0,1.0
17,1,0,1,2025-09-07,FoxBrush,1024,2,1,1,0,1.0
17,1,0,1,2025-09-07,PhoenixRudder,1014,11,1,1,0,1.0
18,2,0,1,2025-09-07,TuskMammoth,1031,2,2,2,0,1.0
18,1,0,1,2025-09-07,PhoenixWing,1013,13,1,1,0,1.0
18,2,1,0,2025-09-07,GolemRock,997,15,2,1,1,0.5
18,1,0,1,2025-09-07,PerseusDark,1024,5,1,1,0,1.0
18,1,0,1,2025-09-07,DranSword,1013,12,1,1,0,1.0
18,1,0,1,2025-09-07,WizardRod,1013,14,1,1,0,1.0
18,2,1,0,2025-09-07,ImpactDrake,1035,1,2,2,0,1.0
18,1,0,1,2025-09-07,CobaltDragoon,1024,4,1,1,0,1.0
18,1,0,1,2025-09-07,FoxBrush,1024,3,1,1,0,1.0
19,1,0,1,2025-09-07,WeissTiger,1020,9,1,1,0,1.0
19,1,0,1,2025-09-07,PhoenixWing,1013,12,1,1,0,1.0
19,1,0,1,2025-09-07,PerseusDark,1024,6,1,1,0,1.0
19,1,0,1,2025-09-07,DranDagger,1020,7,1,1,0,1.0
19,1,0,1,2025-09-07,UnicornSting,1020,8,1,1,0,1.0
19,2,1,0,2025-09-07,DranSword,1028,3,2,2,0,1.0
19,1,0,1,2025-09-07,WizardRod,1013,13,1,1,0,1.0
19,2,1,0,2025-09-07,DranBrave,999,14,2,1,1,0.5
19,1,0,1,2025-09-07,CobaltDragoon,1024,5,1,1,0,1.0
19,1,0,1,2025-09-07,FoxBrush,1024,4,1,1,0,1.0
20,2,0,1,2025-09-07,TuskMammoth,1031,3,2,2,0,1.0
20,1,0,1,2025-09-07,WeissTiger,1020,8,1,1,0,1.0
20,1,0,1,2025-09-07,PhoenixWing,1013,11,1,1,0,1.0
20,1,0,1,2025-09-07,PerseusDark,1024,7,1,1,0,1.0
20,2,1,0,2025-09-07,DranDagger,1002,13,2,1,1,0.5
20,2,1,0,2025-09-07,UnicornSting,1038,1,2,2,0,1.0
20,2,0,1,2025-09-07,DranSword,1028,4,2,2,0,1.0
20,1,0,1,2025-09-07,WizardRod,1013,12,1,1,0,1.0
20,2,0,1,2025-09-07,ImpactDrake,1035,2,2,2,0,1.0
20,1,0,1,2025-09-07,TyrannoBeat,1014,9,1,1,0,1.0
20,1,0,1,2025-09-07,CobaltDragoon,1024,6,1,1,0,1.0
20,1,0,1,2025-09-07,FoxBrush,1024,5,1,1,0,1.0
20,1,0,1,2025-09-07,PhoenixRudder,1014,10,1,1,0,1.0
21,2,0,1,2025-09-07,TuskMammoth,1031,4,2,2,0,1.0
21,1,0,1,2025-09-07,PhoenixWing,1013,10,1,1,0,1.0
21,2,0,1,2025-09-07,DranBrave,999,13,2,1,1,0.5
21,2,0,1,2025-09-07,DranDagger,1002,12,2,1,1,0.5
21,2,0,1,2025-09-07,UnicornSting,1038,2,2,2,0,1.0
21,2,0,1,2025-09-07,DranSword,1028,5,2,2,0,1.0
21,1,0,1,2025-09-07,WizardRod,1013,11,1,1,0,1.0
21,2,0,1,2025-09-07,ImpactDrake,1035,3,2,2,0,1.0
21,2,1,0,2025-09-07,TyrannoBeat,997,14,2,1,1,0.5
21,2,1,0,2025-09-07,FoxBrush,1042,1,2,2,0,1.0
21,1,0,1,2025-09-07,PhoenixRudder,1014,9,1,1,0,1.0
22,2,1,0,2025-09-07,PhoenixWing,1029,5,2,2,0,1.0
22,2,0,1,2025-09-07,DranSword,1028,6,2,2,0,1.0
22,2,1,0,2025-09-07,CobaltDragoon,1007,11,2,1,1,0.5
22,1,0,1,2025-09-07,WizardRod,1013,10,1,1,0,1.0
23,2,1,0,2025-09-07,WizardRod,1029,6,2,2,0,1.0
23,2,0,1,2025-09-07,CobaltDragoon,1007,10,2,1,1,0.5
23,2,1,0,2025-09-07,PerseusDark,1007,11,2,1,1,0.5
23,2,0,1,2025-09-07,DranSword,1028,7,2,2,0,1.0
24,2,1,0,2025-09-07,WeissTiger,1005,11,2,1,1,0.5
24,2,0,1,2025-09-07,PerseusDark,1007,10,2,1,1,0.5
24,2,0,1,2025-09-07,DranSword,1028,8,2,2,0,1.0
24,2,0,1,2025-09-07,CobaltDragoon,1007,9,2,1,1,0.5
24,2,1,0,2025-09-07,PhoenixRudder,1028,7,2,2,0,1.0
25,3,1,0,2025-09-07,TuskMammoth,1008,8,3,2,1,0.6666666666666666
25,2,0,1,2025-09-07,PhoenixWing,1029,4,2,2,0,1.0
25,2,0,1,2025-09-07,UnicornSting,1038,3,2,2,0,1.0
25,2,0,1,2025-09-07,WizardRod,1029,5,2,2,0,1.0
25,2,0,1,2025-09-07,DranSword,1028,7,2,2,0,1.0
25,3,1,0,2025-09-07,ImpactDrake,1059,1,3,3,0,1.0
25,2,0,1,2025-09-07,FoxBrush,1042,2,2,2,0,1.0
25,2,0,1,2025-09-07,PhoenixRudder,1028,6,2,2,0,1.0
26,3,1,0,2025-09-07,UnicornSting,1018,7,3,2,1,0.6666666666666666
26,3,1,0,2025-09-07,DranSword,1047,2,3,3,0,1.0
26,2,0,1,2025-09-07,FoxBrush,1042,3,2,2,0,1.0
27,3,0,1,2025-09-07,TuskMammoth,1008,7,3,2,1,0.6666666666666666
27,3,1,0,2025-09-07,PhoenixWing,1007,10,3,2,1,0.6666666666666666
27,2,0,1,2025-09-07,PerseusDark,1007,9,2,1,1,0.5
27,3,0,1,2025-09-07,UnicornSting,1018,6,3,2,1,0.6666666666666666
27,3,0,1,2025-09-07,DranSword,1047,3,3,3,0,1.0
27,2,0,1,2025-09-07,WizardRod,1029,4,2,2,0,1.0
27,3,0,1,2025-09-07,ImpactDrake,1059,2,3,3,0,1.0
27,2,0,1,2025-09-07,CobaltDragoon,1007,8,2,1,1,0.5
27,3,1,0,2025-09-07,FoxBrush,1066,1,3,3,0,1.0
27,2,0,1,2025-09-07,PhoenixRudder,1028,5,2,2,0,1.0
28,3,0,1,2025-09-07,UnicornSting,1018,5,3,2,1,0.6666666666666666
28,3,1,0,2025-09-07,WizardRod,1044,4,3,3,0,1.0
28,3,1,0,2025-09-07,PhoenixRudder,1013,6,3,2,1,0.6666666666666666
29,4,1,0,2025-09-07,ImpactDrake,1076,1,4,4,0,1.0
29,4,1,0,2025-09-07,DranSword,1031,4,4,3,1,0.75
29,3,0,1,2025-09-07,WizardRod,1044,3,3,3,0,1.0
29,3,0,1,2025-09-07,FoxBrush,1066,2,3,3,0,1.0
30,4,0,1,2025-09-07,ImpactDrake,1076,2,4,4,0,1.0
30,4,1,0,2025-09-07,WizardRod,1027,4,4,3,1,0.75
30,4,1,0,2025-09-07,FoxBrush,1085,1,4,4,0,1.0
30,4,0,1,2025-09-07,DranSword,1031,3,4,3,1,0.75
31,5,1,0,2025-09-07,ImpactDrake,1111,1,5,5,0,1.0
31,5,1,0,2025-09-07,FoxBrush,1049,2,5,4,1,0.8
32,6,1,0,2025-11-12,ImpactDrake,1121,1,6,6,0,1.0
32,2,0,1,2025-11-12,DranBrave,999,12,2,1,1,0.5
32,2,0,1,2025-11-12,DranDagger,1002,11,2,1,1,0.5
32,3,1,0,2025-11-12,WeissTiger,998,13,3,1,2,0.3333333333333333
33,1,0,1,2025-11-12,HellsReaper,986,22,1,0,1,0.0
33,3,0,1,2025-11-12,TuskMammoth,1008,8,3,2,1,0.6666666666666666
33,1,0,1,2025-11-12,HellsChain,986,23,1,0,1,0.0
33,1,0,1,2025-11-12,SamuraiSaber,986,21,1,0,1,0.0
33,1,0,1,2025-11-12,SharkEdge,976,30,1,0,1,0.0
33,1,0,1,2025-11-12,DranBuster,976,29,1,0,1,0.0
33,1,0,1,2025-11-12,WhaleWave,976,31,1,0,1,0.0
33,1,0,1,2025-11-12,RhinoReaper,980,28,1,0,1,0.0
33,3,0,1,2025-11-12,UnicornSting,1018,6,3,2,1,0.6666666666666666
33,1,0,1,2025-11-12,ScorpioSpear,986,24,1,0,1,0.0
33,1,0,1,2025-11-12,CrimsonGaruda,980,26,1,0,1,0.0
33,2,1,0,2025-11-12,WizardArc,973,32,2,0,2,0.0
33,1,0,1,2025-11-12,BlackShell,980,25,1,0,1,0.0
33,3,1,0,2025-11-12,CobaltDragoon,1019,5,3,2,1,0.6666666666666666
33,1,0,1,2025-11-12,LeonClaw,980,27,1,0,1,0.0
33,3,0,1,2025-11-12,PhoenixRudder,1013,7,3,2,1,0.6666666666666666
34,1,0,1,2025-11-12,HellsReaper,986,23,1,0,1,0.0
34,2,1,0,2025-11-12,HellsChain,1005,10,2,1,1,0.5
34,1,0,1,2025-11-12,SamuraiSaber,986,22,1,0,1,0.0
34,4,1,0,2025-11-12,PhoenixWing,991,17,4,2,2,0.5
34,1,0,1,2025-11-12,SilverWolf,987,21,1,0,1,0.0
34,1,0,1,2025-11-12,HellsHammer,987,19,1,0,1,0.0
34,1,0,1,2025-11-12,LeonCrest,987,18,1,0,1,0.0
34,1,0,1,2025-11-12,WizardArrow,987,20,1,0,1,0.0
35,4,1,0,2025-11-12,UnicornSting,1034,3,4,3,1,0.75
35,5,1,0,2025-11-12,WizardRod,1011,7,5,3,2,0.6
35,3,0,1,2025-11-12,PhoenixRudder,1013,6,3,2,1,0.6666666666666666
35,4,0,1,2025-11-12,DranSword,1031,4,4,3,1,0.75
36,3,0,1,2025-11-12,TuskMammoth,1008,7,3,2,1,0.6666666666666666
36,4,0,1,2025-11-12,PhoenixWing,991,18,4,2,2,0.5
36,2,1,0,2025-11-12,SilverWolf,1006,9,2,1,1,0.5
36,2,0,1,2025-11-12,PerseusDark,1007,8,2,1,1,0.5
36,1,0,1,2025-11-12,HellsHammer,987,20,1,0,1,0.0
36,1,0,1,2025-11-12,WizardArrow,987,21,1,0,1,0.0
36,5,0,1,2025-11-12,WizardRod,1011,6,5,3,2,0.6
36,1,0,1,2025-11-12,LeonCrest,987,19,1,0,1,0.0
36,4,1,0,2025-11-12,PhoenixRudder,996,17,4,2,2,0.5
37,3,0,1,2025-11-12,TuskMammoth,1008,8,3,2,1,0.6666666666666666
37,2,0,1,2025-11-12,SilverWolf,1006,10,2,1,1,0.5
37,1,0,1,2025-11-12,RhinoReaper,980,27,1,0,1,0.0
37,2,0,1,2025-11-12,DranDagger,1002,12,2,1,1,0.5
37,1,0,1,2025-11-12,HellsHammer,987,19,1,0,1,0.0
37,1,0,1,2025-11-12,CrimsonGaruda,980,25,1,0,1,0.0
37,1,0,1,2025-11-12,WizardArrow,987,20,1,0,1,0.0
37,1,0,1,2025-11-12,SharkEdge,976,29,1,0,1,0.0
37,3,0,1,2025-11-12,WeissTiger,998,14,3,1,2,0.3333333333333333
37,1,0,1,2025-11-12,DranBuster,976,28,1,0,1,0.0
37,3,1,0,2025-11-12,GolemRock,1009,7,3,2,1,0.6666666666666666
37,2,0,1,2025-11-12,DranBrave,999,13,2,1,1,0.5
37,1,0,1,2025-11-12,LeonClaw,980,26,1,0,1,0.0
37,2,0,1,2025-11-12,HellsChain,1005,11,2,1,1,0.5
37,1,0,1,2025-11-12,WhaleWave,976,30,1,0,1,0.0
37,1,0,1,2025-11-12,SamuraiSaber,986,21,1,0,1,0.0
37,2,0,1,2025-11-12,PerseusDark,1007,9,2,1,1,0.5
37,2,0,1,2025-11-12,TyrannoBeat,997,15,2,1,1,0.5
37,1,0,1,2025-11-12,BlackShell,980,24,1,0,1,0.0
37,2,1,0,2025-11-12,LeonCrest,973,31,2,0,2,0.0
37,1,0,1,2025-11-12,HellsReaper,986,22,1,0,1,0.0
37,1,0,1,2025-11-12,ScorpioSpear,986,23,1,0,1,0.0
